"ID","Tank","Subject","Type","Sex","Object_placement","Distance_moved","Velocity","In_zone2_Freq","In_zone_2_cumulative","Zone_2_latency_to_first","In_zone1_Freq","In_zone_1_cumulative","Zone_1_latency_to_first","In_zoneN_Freq","In_zone_N_cumulative","Zone_N_latency_to_first","Moving_","Not_Moving_","Object_1_zone_Freq...19","Object_1_zone_Freq...20","Object_1_zone_latency","Object_2_zone_Freq...22","Object_2_zone_Freq...23","Object_2_zone_latency","Zone_2_Neutral_Zone_Zone_1","Turn_angle","Angular_velocity"
22,"E1",6,"FO21","M",NA,1437.59,4.07772,17,81.3392,"23.087299999999999",31,83.0074,"0",49,186.3,"1.6014299999999999",310.143,42.5046,6,2.26869,"160.24299999999999",12,4.03694,"0",9,-0.11675,-3.49951
23,"E1",6,"Preference NO21a vs FO21","M","Left",1100.7,3.05167,23,86.0683,"0.233518",22,115.025,"0",45,157.592,"3.3359E-2",233.685,127.001,12,4.03654,"0.33359800000000001",6,1.63463,"2.46862",13,0.249083,7.46655
24,"E1",6,"Preference NO21b vs FO21","M","Right",849.333,2.37715,21,81.1357,"38.316899999999997",14,69.3638,"61.893900000000002",36,203.923,"3.3348000000000003E-2",214.728,142.763,0,0,"-",13,5.80255,"64.561700000000002",5,0.271885,8.15299
25,"E1",7,"Habitation","M",NA,1366.91,4.54574,26,85.0522,"0.76743799999999995",28,96.3302,"3.3366E-2",54,117.418,"0.26693499999999998",278.547,22.1556,2,1.16784,"53.787399999999998",18,13.4135,"0.10009999999999999",16,0.322915,9.67772
26,"E1",7,"FO21","M",NA,1361.16,3.65944,24,78.9875,"62.622199999999999",25,55.4415,"66.095600000000005",53,235.125,"0",283.319,88.6396,2,1.56973,"70.303799999999995",1,0.367384,"172.303",9,0.422846,12.6606
27,"E1",7,"Preference NO21a vs FO21","M","Right",1087.79,2.86135,16,177.054,"0",23,44.3303,"134.46100000000001",37,156.476,"132.65700000000001",228.266,151.899,3,0.634721,"222.18600000000001",2,0.567909,"271.39400000000001",6,0.504638,15.1061
28,"E1",7,"Preference NO21b vs FO21","M","Left",17.9443,0.047937,1,374.364,"0",0,0,"-",0,0,"-",0.833923,373.497,0,0,"-",0,0,"-",0,-0.68111,-20.4187
29,"E1",8,"Habitation","M",NA,42.1634,0.140264,0,0,"-",1,4.5399,"0",1,296.095,"4.5399000000000003",4.00579,296.596,0,0,"-",1,1.73584,"0.43396000000000001",0,-0.13237,-3.96532
30,"E1",8,"FO21","M",NA,11.3332,0.030182,1,375.531,"0",0,0,"-",0,0,"-",0,375.497,0,0,"-",0,0,"-",0,0.351043,10.5099
31,"E1",8,"Preference NO21a vs FO21","M","Left",13.6948,0.037828,1,362.06,"0",0,0,"-",0,0,"-",0,362.026,0,0,"-",0,0,"-",0,0.265346,7.95613
32,"E1",8,"Preference NO21b vs FO21","M","Right",10.879,0.030157,0,0,"-",0,0,"-",1,360.786,"0",0,360.752,0,0,"-",0,0,"-",0,0.009532,0.28529
33,"E1",9,"Habitation","M",NA,1607.4,5.35861,30,116.57,"0.100088",27,88.2449,"8.4074500000000008",56,93.2493,"0.20017699999999999",291.258,8.70772,22,14.613,"1.36788",20,13.9123,"80.271100000000004",10,0.299168,8.96706
34,"E1",9,"FO21","M",NA,2061.12,5.69452,29,78.564,"2.2694800000000002",31,80.7,"1.9691099999999999",62,200.549,"0",353.705,8.24355,0,0,"-",8,2.26948,"5.1730799999999997",8,-0.27546,-8.25361
35,"E1",9,"Preference NO21a vs FO21","M","Right",1623.66,4.50191,23,69.7071,"31.663799999999998",32,130.095,"2.07084",58,156.682,"8.8511600000000001",346.698,14.0617,3,0.968617,"277.52600000000001",9,2.73885,"6.0455100000000002",5,-0.39355,-11.7828
36,"E1",9,"Preference NO21b vs FO21","M","Left",1509.44,4.18018,38,198.338,"32.277500000000003",4,2.67032,"0",41,157.682,"1.6689499999999999",324.177,36.9172,17,4.47279,"32.5779",2,0.534064,"0.100137",3,0.3883,11.6331
37,"E1",10,"Habitation","F",NA,2008.71,6.69565,27,117.205,"0",30,112.734,"1.5013399999999999",56,69.3287,"0.16681599999999999",286.857,13.1451,22,13.1117,"3.3362999999999997E-2",61,53.7815,"1.73489",8,-1.01012,-30.2764
38,"E1",10,"FO21","F",NA,1825.9,5.06315,10,159.569,"90.323099999999997",18,13.9961,"1.1691199999999999",27,184.922,"1.6367700000000001",321.575,39.1489,0,0,"-",1,0.233824,"60.193100000000001",1,0.055738,1.66869
39,"E1",10,"Preference NO21a vs FO21","F","Left",1895.3,5.17052,40,75.6694,"30.087499999999999",20,86.8562,"35.630800000000001",58,202.898,"0",326.521,40.0387,0,0,"-",2,0.734655,"137.714",3,-0.03889,-1.16462
40,"E1",10,"Preference NO21b vs FO21","F","Right",1829.18,4.84563,23,80.6071,"112.596",14,46.6145,"55.797199999999997",40,249.234,"0",343.732,33.7922,0,0,"-",0,0,"-",1,0.09467,2.83518
41,"E1",11,"Habitation","M",NA,312.965,1.04321,7,293.662,"0",2,0.767438,"8.3417300000000001",9,5.2386,"2.5025200000000001",27.7946,272.207,13,5.33871,"0.10009999999999999",0,0,"-",2,-0.61821,-18.5276
42,"E1",11,"FO21","M",NA,17.0084,0.046423,18,354.464,"0",0,0,"-",0,0,"-",0,366.382,0,0,"-",0,0,"-",0,-0.2083,-6.23964
43,"E1",11,"Preference NO21a vs FO21","M","Right",1752.28,4.98551,49,47.411,"1.56924",27,15.1915,"0",80,287.404,"0.56759599999999999",144.637,207.039,17,7.87957,"9.6491299999999995",9,3.43896,"11.6524",7,-0.14475,-4.33534
44,"E1",11,"Preference NO21b vs FO21","M","Left",30.2574,0.083225,0,0,"-",0,0,"-",1,363.594,"0",0,363.56,0,0,"-",0,0,"-",0,-0.26006,-7.78117
45,"E1",12,"Habitation","M",NA,1636.45,5.45429,32,80.6001,"0",34,81.1677,"5.8763899999999998",65,137.261,"1.3355399999999999",281.867,18.1634,40,27.3119,"0.16694300000000001",26,19.5323,"6.444",15,-0.24916,-7.4626
46,"E1",12,"FO21","M",NA,1557.25,4.27784,16,34.7663,"4.0410399999999997",18,26.6508,"0",35,301.375,"0.26717600000000002",339.781,24.2462,9,4.90936,"23.544899999999998",2,0.367367,"101.49299999999999",4,0.073725,2.20754
47,"E1",12,"Preference NO21a vs FO21","M","Left",1153.15,3.19886,22,45.9543,"5.2767299999999997",9,14.2605,"0.13358800000000001",31,298.669,"0",267.811,92.6767,5,1.97042,"124.10299999999999",2,1.1355,"0.40076400000000001",2,0.023785,0.712199
48,"E1",12,"Preference NO21b vs FO21","M","Right",974.306,2.69673,11,29.5654,"15.450100000000001",6,4.50488,"108.28400000000001",20,324.752,"0",231.818,129.474,5,1.63511,"15.8505",0,0,"-",4,0.239103,7.16535
49,"E1",13,"Habitation","M",NA,1449.37,4.83339,28,110.849,"1.7341",32,69.2971,"1.26722",59,116.851,"1.5006600000000001",271.119,28.846,15,8.337,"3.3348",4,3.00132,"39.217199999999998",8,-0.04095,-1.22804
50,"E1",13,"FO21","M",NA,1913.32,5.31247,14,35.9989,"1.03426",30,59.5867,"3.3362999999999997E-2",42,263.169,"0.700627",351.281,8.87461,1,0.500448,"245.95400000000001",7,2.70242,"0.13345199999999999",5,0.702153,21.0458
51,"E1",13,"Preference NO21a vs FO21","M","Right",1587.7,4.40918,11,21.9803,"59.370100000000001",33,71.2775,"0",45,266.332,"3.3353999999999999",344.714,15.3762,3,1.06733,"60.937800000000003",9,6.97099,"0",5,0.737472,22.1104
52,"E1",13,"Preference NO21b vs FO21","M","Left",1563.82,4.33443,15,37.9411,"72.345100000000002",9,17.0184,"99.374399999999994",24,305.264,"0",353.483,7.30792,7,3.77075,"85.025499999999994",1,0.100108,"298.19",5,0.763969,22.8942
53,"E1",14,"Habitation","M",NA,1196.75,3.98872,19,157.756,"0.26687300000000003",16,64.2498,"0",32,76.2591,"0.100077",279.917,20.1156,24,21.3499,"8.8068299999999997",14,14.5113,"50.572499999999998",7,-0.11457,-3.4344
54,"E1",14,"FO21","M",NA,1039.08,3.45589,17,130.692,"22.21",17,21.8098,"0.13339300000000001",36,146.066,"0",256.448,44.2198,5,3.8684,"90.573999999999998",0,0,"-",11,0.401104,12.0277
55,"E1",14,"Preference NO21a vs FO21","M","Left",1119.31,3.10021,23,163.72,"1.2681100000000001",11,38.8108,"0.934396",33,156.011,"1.0678799999999999",304.546,56.5977,8,1.26811,"1.3348500000000001",6,2.93668,"79.056600000000003",7,0.182182,5.45922
56,"E1",14,"Preference NO21b vs FO21","M","Right",1353.58,3.4565,12,83.4262,"35.472799999999999",24,85.6287,"56.6631",36,221.78,"0",333.972,57.6309,3,0.867633,"201.22399999999999",16,3.37042,"88.398499999999999",11,-0.14095,-4.22389
57,"E2",15,"Habitation","M",NA,2051.66,6.83816,43,123.904,"0.30033100000000001",29,56.8628,"3.9043100000000002",74,117.463,"0",287.351,12.6807,62,48.0531,"0.86762499999999998",28,17.6528,"53.692700000000002",14,-0.34395,-10.3071
58,"E2",15,"FO21","M",NA,2198.12,6.44786,69,83.6004,"0",15,9.27411,"1.70137",86,244.463,"0.60048100000000004",296.471,44.7359,21,9.94131,"0.10008",1,0.1668,"7.0389799999999996",3,0.418764,12.5528
59,"E2",15,"Preference NO21a vs FO21","M","Right",2656.06,7.31574,46,44.8486,"75.548500000000004",96,178.727,"0",131,136.581,"74.680899999999994",237.124,126.003,3,0.967716,"106.349",0,0,"-",22,0.236044,7.07345
60,"E2",15,"Preference NO21b vs FO21","M","Left",1465.15,4.06616,39,49.5783,"0",23,14.5132,"1.40127",64,292.932,"0.83409",269.878,90.4487,6,3.77009,"0.233545",5,1.60145,"81.707499999999996",2,0.454114,13.611
61,"E2",16,"Habitation","F",NA,131.095,0.436061,2,0.266817,"4.1690100000000001",4,296.4,"1.76766",6,3.70208,"0",8.10456,292.631,0,0,"-",5,1.56755,"1.86772",1,0.064297,1.92782
62,"E2",16,"FO21","F",NA,12.5068,0.034376,0,0,"-",1,363.861,"0",0,0,"-",0,363.827,0,0,"-",0,0,"-",0,-0.25611,-7.66791
63,"E2",16,"Preference NO21a vs FO21","F","Left",1275.03,3.53889,1,0.033381,"0",43,17.4587,"2.5703999999999998",45,342.764,"3.3381000000000001E-2",80.5503,279.739,0,0,"-",6,2.80407,"2.7039200000000001",1,0.823575,24.6713
64,"E2",16,"Preference NO21b vs FO21","F","Right",9.93797,0.027446,0,0,"-",0,0,"-",1,362.126,"0",0,362.093,0,0,"-",0,0,"-",0,-0.37248,-11.1694
65,"E2",17,"Habitation","F",NA,1957.69,6.52494,29,77.8863,"3.5372499999999998",43,107.92,"1.20133",72,112.792,"0",293.392,6.64069,16,9.07672,"6.3737300000000001",45,27.4638,"1.50166",20,-1.04734,-31.3854
66,"E2",17,"FO21","F",NA,1824.49,5.1771,23,36.8662,"41.503700000000002",49,100.089,"20.084599999999998",76,212.656,"0",310.844,41.6705,5,2.26869,"128.34800000000001",6,1.16771,"171.32",7,-0.92479,-27.719
67,"E2",17,"Preference NO21a vs FO21","F","Right",1147.65,3.1692,14,11.3143,"37.280500000000004",34,88.7791,"34.376899999999999",49,261.264,"0",169.348,192.878,3,1.56865,"64.181299999999993",12,4.67258,"35.311399999999999",4,-0.32196,-9.64649
